"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Einpersonenhaushalte","ausländisch","2014","09 Neuhausen - Nymphenburg","20.2","6459","31915","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","10 Moosach","25.3","3574","14121","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","11 Milbertshofen - Am Hart","32.1","6470","20138","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","12 Schwabing - Freimann","23.1","4958","21443","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","13 Bogenhausen","21.1","4906","23282","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","14 Berg am Laim","24.7","3252","13164","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","15 Trudering - Riem","22.4","2867","12787","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","16 Ramersdorf - Perlach","26.4","7012","26595","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","17 Obergiesing - Fasangarten","24.6","4265","17354","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","18 Untergiesing - Harlaching","20.5","3690","18019","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","21.3","5409","25391","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","20 Hadern","21.8","2501","11487","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","21 Pasing - Obermenzing","20.9","3680","17639","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","22 Aubing - Lochhausen - Langwied","22.8","1949","8544","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","23 Allach - Untermenzing","23.3","1410","6040","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","24 Feldmoching - Hasenbergl","28.8","3623","12587","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2014","25 Laim","21.7","4168","19250","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","Stadt München","22","94218","428584","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","01 Altstadt - Lehel","25.5","2074","8120","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","02 Ludwigsvorstadt - Isarvorstadt","25.1","5002","19947","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","03 Maxvorstadt","22.2","4934","22241","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","04 Schwabing - West","19.2","4655","24285","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","05 Au - Haidhausen","20.9","4409","21124","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","06 Sendling","20.9","2977","14235","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","07 Sendling - Westpark","20.4","3481","17050","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","08 Schwanthalerhöhe","27.6","2837","10292","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","09 Neuhausen - Nymphenburg","18.8","5863","31139","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","10 Moosach","23.9","3260","13665","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","11 Milbertshofen - Am Hart","30.6","5948","19467","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","12 Schwabing - Freimann","21.7","4534","20891","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","13 Bogenhausen","20.1","4584","22821","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","14 Berg am Laim","23","2929","12753","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","15 Trudering - Riem","20.5","2502","12204","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","16 Ramersdorf - Perlach","24.7","6417","25934","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","17 Obergiesing - Fasangarten","23.4","3889","16612","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","18 Untergiesing - Harlaching","19.7","3480","17679","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","19.8","4904","24718","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","20 Hadern","19.7","2203","11190","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","21 Pasing - Obermenzing","19.9","3434","17294","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","22 Aubing - Lochhausen - Langwied","20.7","1694","8197","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","23 Allach - Untermenzing","20.4","1184","5815","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","24 Feldmoching - Hasenbergl","26.7","3226","12073","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2013","25 Laim","20.2","3797","18837","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","Stadt München","20.7","87818","423654","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","01 Altstadt - Lehel","23.9","1929","8088","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","02 Ludwigsvorstadt - Isarvorstadt","24.2","4903","20258","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","03 Maxvorstadt","20.8","4555","21909","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","04 Schwabing - West","18.6","4506","24289","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","05 Au - Haidhausen","19.5","4077","20877","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","06 Sendling","19.8","2763","13965","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","07 Sendling - Westpark","19.4","3278","16913","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","08 Schwanthalerhöhe","26.3","2670","10168","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","09 Neuhausen - Nymphenburg","17.9","5552","31016","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","10 Moosach","22.5","3025","13442","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","11 Milbertshofen - Am Hart","29.3","5605","19151","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","12 Schwabing - Freimann","20.6","4250","20596","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","13 Bogenhausen","18.7","4220","22562","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","14 Berg am Laim","21.8","2722","12467","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","15 Trudering - Riem","19.3","2292","11899","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","16 Ramersdorf - Perlach","23.4","5960","25444","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","17 Obergiesing - Fasangarten","22.1","3665","16564","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","18 Untergiesing - Harlaching","18.4","3289","17920","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","18.1","4415","24350","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","20 Hadern","18.3","1952","10697","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","21 Pasing - Obermenzing","18.4","3105","16911","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","22 Aubing - Lochhausen - Langwied","18.8","1487","7907","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","23 Allach - Untermenzing","19.2","1105","5747","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","24 Feldmoching - Hasenbergl","24.9","2919","11739","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2012","25 Laim","19","3564","18733","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","Stadt München","22.4","92204","411003","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","01 Altstadt - Lehel","25.1","2091","8332","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","02 Ludwigsvorstadt - Isarvorstadt","26.2","5099","19438","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","03 Maxvorstadt","22.4","4707","21051","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","04 Schwabing - West","21.2","4956","23428","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","05 Au - Haidhausen","21.8","4417","20262","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","06 Sendling","22.3","3039","13606","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","07 Sendling - Westpark","21.2","3486","16476","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","08 Schwanthalerhöhe","29.1","2868","9864","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","09 Neuhausen - Nymphenburg","19.5","5884","30147","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","10 Moosach","24.4","3193","13086","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","11 Milbertshofen - Am Hart","30.9","5895","19053","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2011","12 Schwabing - Freimann","22","4484","20411","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
