"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Ausländer_innenanteil","gesamt","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","25.1","23464","93602","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","20 Hadern","26.3","13198","50257","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","21 Pasing - Obermenzing","21.9","16077","73320","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","22 Aubing - Lochhausen - Langwied","24.4","10640","43682","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","23 Allach - Untermenzing","21","6688","31882","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","24 Feldmoching - Hasenbergl","31.8","19543","61534","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2015","25 Laim","26.7","14759","55374","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","Stadt München","26.4","393372","1490681","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","01 Altstadt - Lehel","25.8","5371","20806","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","02 Ludwigsvorstadt - Isarvorstadt","30.2","15778","52177","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","03 Maxvorstadt","26","13671","52575","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","04 Schwabing - West","22.3","14959","67094","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","05 Au - Haidhausen","23.4","14225","60756","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","06 Sendling","26.7","10810","40422","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","07 Sendling - Westpark","27.2","15354","56485","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","08 Schwanthalerhöhe","34","10230","30083","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","09 Neuhausen - Nymphenburg","23.9","23309","97521","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","10 Moosach","29.6","15606","52657","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","11 Milbertshofen - Am Hart","39.2","29253","74667","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","12 Schwabing - Freimann","27.3","19608","71802","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","13 Bogenhausen","21.8","18286","83900","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","14 Berg am Laim","29.9","13141","44022","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","15 Trudering - Riem","20.2","13747","68063","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","16 Ramersdorf - Perlach","31.5","34699","110099","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","17 Obergiesing - Fasangarten","30.1","15858","52743","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","18 Untergiesing - Harlaching","22.6","11839","52452","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","23.8","21777","91412","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","20 Hadern","25.2","12587","49874","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","21 Pasing - Obermenzing","20.5","14754","71880","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","22 Aubing - Lochhausen - Langwied","23.3","9996","42859","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","23 Allach - Untermenzing","19.5","6116","31353","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","24 Feldmoching - Hasenbergl","30.4","18347","60262","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2014","25 Laim","25.7","14049","54714","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","Stadt München","25.4","372801","1464962","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","01 Altstadt - Lehel","24.7","5053","20422","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","02 Ludwigsvorstadt - Isarvorstadt","28.3","14346","50620","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","03 Maxvorstadt","24.9","12878","51642","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","04 Schwabing - West","21.4","14115","65892","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","05 Au - Haidhausen","22.8","13629","59752","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","06 Sendling","26","10386","39953","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","07 Sendling - Westpark","26.1","14445","55405","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","08 Schwanthalerhöhe","33.6","9974","29663","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","09 Neuhausen - Nymphenburg","23","22083","95906","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","10 Moosach","28.7","14805","51537","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","11 Milbertshofen - Am Hart","38.4","28243","73617","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","12 Schwabing - Freimann","25.4","17687","69676","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","13 Bogenhausen","20.9","17126","82138","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","14 Berg am Laim","28.9","12433","43068","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","15 Trudering - Riem","19.4","13023","67009","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","16 Ramersdorf - Perlach","30.4","32946","108244","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","17 Obergiesing - Fasangarten","29.2","15047","51499","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","18 Untergiesing - Harlaching","21.9","11400","51937","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","23.8","21642","90790","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","20 Hadern","23.9","11715","48945","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","21 Pasing - Obermenzing","19.5","13822","70783","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","22 Aubing - Lochhausen - Langwied","22.3","9435","42305","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","23 Allach - Untermenzing","18.4","5653","30737","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","24 Feldmoching - Hasenbergl","29.5","17522","59391","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2013","25 Laim","24.8","13392","54030","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2012","Stadt München","24.6","353816","1439474","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2012","01 Altstadt - Lehel","23.6","4729","20048","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2012","02 Ludwigsvorstadt - Isarvorstadt","27.4","13604","49657","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
"Ausländer_innenanteil","gesamt","2012","03 Maxvorstadt","24","12225","50877","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","",""
